County,Year,Electricity Usage (GWh)
San Benito,2011,116.248314
San Bernardino,2011,4716.121932999999
San Diego,2011,6691.870606
San Francisco,2011,1523.545732
San Joaquin,2011,1706.8591649999998
San Luis Obispo,2011,655.5846339999999
San Mateo,2011,1604.5906929999999
Santa Barbara,2011,800.386786
Santa Clara,2011,3922.935292
Santa Cruz,2011,604.171835
Shasta,2011,746.2911330000001
Sierra,2011,14.044844
Siskiyou,2011,235.501173
Solano,2011,1013.181025
Sonoma,2011,1359.617673
Stanislaus,2011,1661.389488
Sutter,2011,271.286163
Tehama,2011,233.89066200000002
Trinity,2011,11.471566000000001
Tulare,2011,1162.3109650000001
Tuolumne,2011,220.714282
Ventura,2011,1800.6694489999998
Yolo,2011,500.09773499999994
Yuba,2011,208.695127
Alameda,2010,3021.008265
Alpine,2010,12.451971
Amador,2010,139.890453
Butte,2010,718.735943
Calaveras,2010,197.98376000000002
Colusa,2010,63.400659
Contra Costa,2010,2733.4371899999996
Del Norte,2010,133.518388
El Dorado,2010,763.164377
Fresno,2010,2545.434294
Glenn,2010,91.069867
Humboldt,2010,478.859617
Imperial,2010,497.94845300000003
Inyo,2010,57.596003
Kern,2010,2095.448973
Kings,2010,348.67531
Lake,2010,294.395146
Lassen,2010,104.852577
Los Angeles,2010,19721.279522
Madera,2010,408.42505
Marin,2010,702.412945
Mariposa,2010,72.512063
Mendocino,2010,339.759793
Merced,2010,657.9214900000001
Modoc,2010,60.298730000000006
Mono,2010,94.306
Monterey,2010,733.9893450000001
Napa,2010,376.3244
Nevada,2010,424.937029
Orange,2010,6609.278079
Placer,2010,1332.131876
Plumas,2010,102.003213
Riverside,2010,6336.303432
Sacramento,2010,4519.7975240000005
San Benito,2010,116.65605500000001
San Bernardino,2010,4600.264544
San Diego,2010,6626.559663
San Francisco,2010,1517.5654650000001
San Joaquin,2010,1683.758802
San Luis Obispo,2010,656.553079
San Mateo,2010,1617.115393
Santa Barbara,2010,801.280897
Santa Clara,2010,3922.0595350000003
Santa Cruz,2010,604.543679
Shasta,2010,746.3005400000001
Sierra,2010,14.377963000000001
Siskiyou,2010,236.68617999999998
Solano,2010,1003.248589
Sonoma,2010,1346.2759429999999
Stanislaus,2010,1630.226691
Sutter,2010,265.456637
Tehama,2010,233.30009700000002
Trinity,2010,11.181315
Tulare,2010,1139.4095929999999
Tuolumne,2010,223.064206
Ventura,2010,1788.745688
Yolo,2010,494.328182
Yuba,2010,203.694219
